service_id,exception_type,date
DP,2,20230101
DP,2,20230106
DP,2,20230409
DP,2,20230410
DP,2,20230501
DP,2,20230503
DP,2,20230528
DP,2,20230608
DP,2,20230815
DP,2,20231101
SOB,2,20231111
DP,2,20231225
DP,2,20231226
DSZ,2,20230624
DSZ,2,20230625
DSZ,2,20230626
DSZ,2,20230627
DSZ,2,20230628
DSZ,2,20230701
DSZ,2,20230702
DSZ,2,20230703
DSZ,2,20230704
DSZ,2,20230705
DSZ,2,20230708
DSZ,2,20230709
DSZ,2,20230710
DSZ,2,20230711
DSZ,2,20230712
DSZ,2,20230715
DSZ,2,20230716
DSZ,2,20230717
DSZ,2,20230718
DSZ,2,20230719
DSZ,2,20230722
DSZ,2,20230723
DSZ,2,20230724
DSZ,2,20230725
DSZ,2,20230726
DSZ,2,20230729
DSZ,2,20230730
DSZ,2,20230731
DSZ,2,20230801
DSZ,2,20230802
DSZ,2,20230805
DSZ,2,20230806
DSZ,2,20230807
DSZ,2,20230808
DSZ,2,20230809
DSZ,2,20230812
DSZ,2,20230813
DSZ,2,20230814
DSZ,2,20230815
DSZ,2,20230816
DSZ,2,20230819
DSZ,2,20230820
DSZ,2,20230821
DSZ,2,20230822
DSZ,2,20230823
DSZ,2,20230826
DSZ,2,20230827
DSZ,2,20230828
DSZ,2,20230829
DSZ,2,20230830
DSZ,2,20230213
DSZ,2,20230214
DSZ,2,20230215
DSZ,2,20230216
DSZ,2,20230217
DSZ,2,20230220
DSZ,2,20230221
DSZ,2,20230222
DSZ,2,20230223
DSZ,2,20230224
DSZ,2,20230501
DSZ,2,20230503
DSZ,2,20230608
ND,2,20230409
