trip_id,stop_id,stop_sequence,arrival_time,departure_time,pickup_type,drop_off_type
D4001,DLP1,0,05:00:00,05:00:00,0,0
D4001,DTG1,1,05:03:00,05:03:00,3,3
D4001,DWS1,2,05:05:00,05:05:00,3,3
D4001,DZA1,3,05:07:00,05:07:00,3,3
D4001,DZAO1,4,05:09:00,05:09:00,3,3
D4001,DKR1,5,05:15:00,05:15:00,3,3
D4001,DZAO2,6,05:19:00,05:19:00,3,3
D4001,DZA2,7,05:21:00,05:21:00,3,3
D4001,DTR2,8,05:23:00,05:23:00,3,3
D4001,DKP1,9,05:26:00,05:26:00,3,3
D4001,DD1,10,05:28:00,05:28:00,3,3
D4001,DMP1,11,05:31:00,05:31:00,3,3
D4001,DCO1,12,05:34:00,05:34:00,3,3
D4001,DCM1,13,05:36:00,05:36:00,3,3
D4001,DCP1,14,05:38:00,05:38:00,3,3
D4001,DGS1,15,05:41:00,05:41:00,3,3
D4001,DGG1,16,05:42:00,05:42:00,3,3
D4001,DZS1,17,05:43:00,05:43:00,3,3
D4001,70,18,05:46:00,05:46:00,3,3
D4001,214,19,05:48:00,05:48:00,3,3
D4001,145401,20,05:50:00,05:50:00,0,0
D4002,DLP1,0,12:15:00,12:15:00,0,0
D4002,DTG1,1,12:18:00,12:18:00,3,3
D4002,DWS1,2,12:20:00,12:20:00,3,3
D4002,DZA1,3,12:22:00,12:22:00,3,3
D4002,DZAO1,4,12:24:00,12:24:00,3,3
D4002,DKR1,5,12:30:00,12:30:00,3,3
D4002,DZAO2,6,12:34:00,12:34:00,3,3
D4002,DZA2,7,12:36:00,12:36:00,3,3
D4002,DTR2,8,12:38:00,12:38:00,3,3
D4002,DKP1,9,12:41:00,12:41:00,3,3
D4002,DD1,10,12:43:00,12:43:00,3,3
D4002,DMP1,11,12:46:00,12:46:00,3,3
D4002,DCO1,12,12:49:00,12:49:00,3,3
D4002,DCM1,13,12:51:00,12:51:00,3,3
D4002,DCP1,14,12:53:00,12:53:00,3,3
D4002,DGS1,15,12:56:00,12:56:00,3,3
D4002,DGG1,16,12:57:00,12:57:00,3,3
D4002,DZS1,17,12:58:00,12:58:00,3,3
D4002,70,18,13:01:00,13:01:00,3,3
D4002,214,19,13:03:00,13:03:00,3,3
D4002,145401,20,13:05:00,13:05:00,0,0
D4003,145402,0,06:35:00,06:35:00,0,0
D4003,213,1,06:37:00,06:37:00,3,3
D4003,DRL3,2,06:39:00,06:39:00,3,3
D4003,DZS2,3,06:42:00,06:42:00,3,3
D4003,DGG2,4,06:43:00,06:43:00,3,3
D4003,DGS2,5,06:44:00,06:44:00,3,3
D4003,DCP2,6,06:47:00,06:47:00,3,3
D4003,DCM2,7,06:49:00,06:49:00,3,3
D4003,DCO2,8,06:51:00,06:51:00,3,3
D4003,DMP2,9,06:54:00,06:54:00,3,3
D4003,DD2,10,06:57:00,06:57:00,3,3
D4003,DKP3,11,06:59:00,06:59:00,3,3
D4003,DTR2,12,07:02:00,07:02:00,3,3
D4003,DZA1,13,07:04:00,07:04:00,3,3
D4003,DZAO1,14,07:06:00,07:06:00,3,3
D4003,DKR1,15,07:10:00,07:10:00,3,3
D4003,DZAO2,16,07:16:00,07:16:00,3,3
D4003,DZA2,17,07:18:00,07:18:00,3,3
D4003,DWS2,18,07:20:00,07:20:00,3,3
D4003,DTG2,19,07:22:00,07:22:00,3,3
D4003,DLP1,20,07:25:00,07:25:00,0,0
D4004,145402,0,14:10:00,14:10:00,0,0
D4004,213,1,14:12:00,14:12:00,3,3
D4004,DRL3,2,14:14:00,14:14:00,3,3
D4004,DZS2,3,14:17:00,14:17:00,3,3
D4004,DGG2,4,14:18:00,14:18:00,3,3
D4004,DGS2,5,14:19:00,14:19:00,3,3
D4004,DCP2,6,14:22:00,14:22:00,3,3
D4004,DCM2,7,14:24:00,14:24:00,3,3
D4004,DCO2,8,14:26:00,14:26:00,3,3
D4004,DMP2,9,14:29:00,14:29:00,3,3
D4004,DD2,10,14:32:00,14:32:00,3,3
D4004,DKP3,11,14:34:00,14:34:00,3,3
