stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
100301,Dw. Wileński 01,52.253740,21.035454,,,100301,,,,,,,
100305,Dw. Wileński 05,52.254288,21.033323,,,100305,,,,,,,
106001,Młodzieńcza 01,52.286335,21.074692,,,106001,,,,,,,
106004,Młodzieńcza 04,52.287746,21.076190,,,106004,,,,,,,
123501,Ząbki Wolności 01,52.302605,21.088040,,,123501,,,,,,,
123502,Ząbki Wolności 02,52.303947,21.089485,,,123502,,,,,,,
123601,Marki Szpitalna 01,52.311650,21.095530,,,123601,,,,,,,
123602,Marki Szpitalna 02,52.312490,21.096567,,,123602,,,,,,,
123701,Marki Szkolna 01,52.317190,21.100092,,,123701,,,,,,,
123702,Marki Szkolna 02,52.318264,21.101310,,,123702,,,,,,,
123801,Marki - Ratusz 01,52.326150,21.107515,,,123801,,,,,,,
123802,Marki - Ratusz 02,52.326645,21.108227,,,123802,,,,,,,
123901,Marki Wspólna 01,52.333363,21.113379,,,123901,,,,,,,
123902,Marki Wspólna 02,52.334927,21.114897,,,123902,,,,,,,
124001,Marki Pustelnik 01,52.338707,21.117690,,,124001,,,,,,,
124002,Marki Pustelnik 02,52.339767,21.119024,,,124002,,,,,,,
124101,Marki Graniczna 01,52.351864,21.128708,,,124101,,,,,,,
124102,Marki Graniczna 02,52.353043,21.130041,,,124102,,,,,,,
124201,Marki Struga 01,52.358112,21.133875,,,124201,,,,,,,
124202,Marki Struga 02,52.359406,21.135260,,,124202,,,,,,,
124601,Marki Hallera 01,52.343143,21.121360,,,124601,,,,,,,
124602,Marki Hallera 02,52.344254,21.122637,,,124602,,,,,,,
144802,Słupno Pólko 02,52.370995,21.145056,,,144802,,,,,,,
144901,Nowe Słupno 01,52.378220,21.150583,,,144901,,,,1,,,
144902,Nowe Słupno 02,52.379143,21.151814,,,144902,,,,1,,,
145,"Zawady, OSP 01",52.446190,21.217590,,,145,,,,1,,,
145001,Słupno 01,52.383560,21.155027,,,145001,,,,1,,,
145002,Słupno 02,52.384785,21.156500,,,145002,,,,1,,,
145101,Słupno Górki 01,52.391006,21.161226,,,145101,,,,,,,
145201,Radzymin Cmentarz 1920 r. 01,52.399418,21.168180,,,145201,,,,,,,
145202,Radzymin Cmentarz 1920 r. 02,52.401080,21.169730,,,145202,,,,1,,,
145302,Radzymin Wierzbowa 02,52.407570,21.175150,,,145302,,,,1,,,
145401,Radzymin Ks. Czartoryskiej 01,52.415140,21.178750,,,145401,,,,1,,,
145402,Radzymin Ks. Czartoryskiej 02,52.416100,21.179394,,,145402,,,,1,,,
213,"Radzymin, Wiejska 01",52.421950,21.187120,,,213,,,,,,,
